Name,Scopus_ID,Scopus_name
MICHAEL KUMHOF,55697368300,"Müller, Ulrich K."
MICHAEL MCCRACKEN,6701542800,"Hart, Oliver D."
MICHAEL RIORDAN,57193779613,"Riordan, Michael H."
MICHAEL WOODFORD,6603490509,"Rocheteau, Guillaume"
MICHELE ALEXOPOULOS,6507775118,"Alexopoulos, Michelle"
MICHELE CAVALLO,15827421800,"Cavallo, Michele"
MICHELE CAVALLO,15827421800,"Cavallo, Michele"
MICHELLE ALEXOPOULOS,6507775118,"Alexopoulos, Michelle"
MIKE WOODFORD,7004926273,"Sapienza, Paola"
MILES KIMBALL,24405121400,"Kimball, Miles S."
MIN WEI,12753209500,"Wei, Min"
MONIKA PIAZZESI,6506641986,"Piazzesi, Monika"
MURILLO CAMPELLO,6603697614,"Campello, Murillo"
NANCY WALLACE,56224163300,"Wallace, Nancy E."
NARAYANA R. KOCHERLAKOTA,6701606939,"Kocherlakota, Narayana R."
NATHAN ANDERSON,15065130000,"Anderson, Nathan B."
NEIL MEADS,24344881000,"Meads, Neil"
NELSON MARK,6701710674,"Mark, Nelson C."
NIALL COFFEY,,
NICHOLAS BLOOM,55147487400,"Bloom, Nicholas"
NICHOLAS POLSON,6603575371,"Polson, Nicholas G."
NICHOLAS SOULELES,55893152500,"Souleles, Nicholas S."
NICOLAS VINCENT,26424097800,"Vincent, Nicolas"
NIR JAIMOVICH,12772232000,"Bansal, Ravi"
NOBUHIRO KIYOTAKI,6506635691,"Kiyotaki, Nobuhiro"
NORIYUKI YANAGAWA,7006680582,"Yanagawa, Noriyuki"
NOUR MEDDAHI,6701803164,"Kübler, Felix"
OLIVER HART,7005725158,"Holmström, Bengt R."
PAOLO PESENTI,7003275699,"Pesenti, Paolo"
PAOLO SURICO,23973413200,"Pavlova, Anna"
PAOLO ZAFFARONI,6602543407,"Zaffaroni, Paolo"
PATRICK BAYER,22833332800,"Bayer, Patrick J."
PATRICK KEHOE,8444271300,"Simin, Timothy T."
PAUL KLEIN,7402598536,"Klein, Paul"
PAUL OYER,7005885139,"Oyer, Paul"
PAUL WILLEN,16403994600,"Willen, Paul S."
PENGFEI WANG,55782789500,"Wang, Pengfei"
PER KRUSELL,57203285766,"Krusell, Per"
PETER HANSEN,7403236020,"Hansen, Peter Reinhard"
PETER REINHARD HANSEN,23166985700,"Diebold, Francis X."
PETER ROUSSEAU,7102929822,"Rousseau, Peter L."
PHILLIP LANE,7202980403,"Lane, Phillip R."
PIERPAOLO BENIGNO,6507256174,"Benigno, Pierpaolo"
PIETRO VERONESI,6603697614,"Campello, Murillo"
PIOTR ELIASZ,37045188500,"Eliasz, Piotr"
R. ANTON BRAUN,12766277600,"Braun, R. Anton"
R.GLENN HUBBARD,7202298683,"Hubbard, R. Glenn"
RAJKAMAL IYER,6602257726,"Fratzscher, Marcel"
RAVI BANSAL,12772232000,"Bansal, Ravi"
RAY FAIR,7005564181,"Fair, Ray C."
REBECCA BARROS,,
REFET GURKAYNAK,8581990900,"Gürkaynak, Refet S."
RHYS MENDES,57203753474,"Mendes, Rhys R."
RICARDO CABALLERO,7006328109,"Caballero, Ricardo J."
RICARDO REIS,8622256800,"Reis, Ricardo"
RICHARD LYONS,35496364300,"Lyons, Richard K."
ROBERT DAMMON,6506909842,"Dammon, Robert M."
ROBERT HALL,7102952278,"Potter, Simon M."
ROBERT INMAN,7103228992,"Inman, Robert P."
ROBERT KING,7404499759,"King, Robert G."
ROBERT MCDONALD,7401840910,"McDonald, Robert L."
ROBERT MCMILLAN,6602959115,"Klenow, Peter J."
ROBERT MOFFITT,7005039047,"Moffitt, Robert A."
ROBERTO MOTTO,6506531156,"Motto, Roberto"
ROBERTO SABBATINI,22635811200,"Sabbatini, Roberto"
ROMAN LISENFELD,6603606826,"Liesenfeld, Roman"
RUSSELL COOPER,7404338428,"Cooper, Russell W."
SERGIO REBELO,55756479100,"Busso, Matias"
SEUNG HYUN HONG,55726352100,"Hong, Seung-hyun"
SEVIN YELTEKIN,14026317500,"Yeltekin, evin"
SHARON HARRISON,13402687300,"Bai, Jushan"
SHENGHAO ZHU,36784162900,"Zhu, Shenghao"
SHIGENORI SHIRATSUKA,7801641937,"Shiratsuka, Shigenori"
SILVIA FABIANI,35755559400,"Fabiani, Silvia"
SILVIA MATOS,57191289816,"Matos, Silvia Maria Santos"
SIMEON DJANKOV,6603055192,"Cordella, Tito"
SIMON GILCHRIST,7102431379,"Vallés, Javier"
SIMON POTTER,35219923500,"He, Zhiguo"
SOPHOCLES MAVROEIDIS,6506527390,"Villalonga, Belén"
SOUPHALA CHOMSISENGPHET,6507357648,"Chomsisengphet, Souphala"
STANLEY E. ZIN,8850820200,"Zin, Stanley E."
STEFANIA ALBANESI,56662704700,"Xiong, Wei"
STEFANIE SCHMITT-GROHE,57188859586,"Zuo, Luo"
STEINAR HOLDEN,7101863594,"Holden, Steinar"
STEPHANIE SCHMITT-GROHE,6701711758,"Schmitt-Grohé, Stephanie"
STEPHEN CALABRESE,13205565000,"Calabrese, Stephen M."
STEPHEN R. BOND,7101790332,"Bond, Stephen R."
STUART GABRIEL,7202103883,"Gabriel, Stuart A."
STUART ROSENTHAL,7202208577,"Rosenthal, Stuart S."
SUMIT AGARWAL,6602361493,"Duffee, Gregory R."
SUSANTO BASU,7403656319,"Basu, Susanto"
SYLVAIN LEDUC,36933675600,"Leduc, Sylvain"
TACK YUN,7003584662,"Burnside, A. Craig"
TAO WU,16044075300,"Wu, Tao L."
TAO ZHA,24172768200,"Naknoi, Kanda"
TATIANA NENOVA,7801655141,"Nenova, Tatiana"
THIJS VAN RENS,6701844398,"van Rens, Thijs"
THOMAS CHANEY,36900189200,"Chaney, Thomas"
THOMAS DAVIDOFF,12805621200,"Davidoff, Thomas"
THOMAS J. SARGENT,7005554689,"Sargent, Thomas J."
THOMAS PHILIPPON,23013052900,"Philippon, Thomas"
TIM FUERST,6602544953,"Ludvigson, Sydney C."
TIMOTHY BESLEY,7003483530,"Besley, Timothy J."
TIMOTHY FUERST,7006063372,"Fuerst, Timothy S."
TODD CLARK,7404017353,"Fisher, Jonas D.M."
TODD SINAI,6603486284,"Sinai, Todd"
TOM DAVIDOFF,12805621200,"Davidoff, Thomas"
TRACEY SESLEN,15768229600,"Seslen, Tracey N."
TSUTOMU WATANABE,55700118500,"Watanabe, Tsutomu"
ULRICH MULLER,7101861907,"Lerner, Josh"
VASSOU IOANNIDOU,56203634000,"Ioannidou, Vasso P."
VIRGILIU MIDRIGAN,22980853800,"Midrigan, Virgiliu"
WARREN HRUNG,6602368215,"Hrung, Warren B."
WILLIAM DUPOR,35264758100,"Matsumoto, Akito"
WILLIAM STRANGE,7006715604,"Strange, William C."
WILLIAM WHEATON,7004513266,"Wheaton, William C."
WOUTER DEN HAAN,22938088500,"Lustig, Hanno N."
YAN SONG,35224016100,"Song, Yan"
YINGJIN HILA GAN,,
YONGHENG DENG,7401531283,"Deng, Yongheng"
YURIY GORODNICHENKO,8567095900,"Gorodnichenko, Yuriy"
ZHENG LIU,55553264700,"Liu, Zheng"
