Name,Scopus_ID,Scopus_name
MORRIS DAVIS,22979039200,"Davis, Morris A."
MOTOHIRO YOGO,23037784200,"Yogo, Motohiro"
MURILLO CAMPELLO,6603697614,"Campello, Murillo"
NAN LI,56037328500,"Li, Nan"
NANCY WALLACE,56224163300,"Wallace, Nancy E."
NARAYANA KOCHERLAKOTA,6701606939,"Kocherlakota, Narayana R."
NATHANIEL BAUM-SNOW,22133551000,"Baum-Snow, Nathaniel"
NELSON MARK,6701710674,"Mark, Nelson C."
NENG WANG,55467215200,"Wang, Neng"
NICHOLAS BARBERIS,56067979000,"Barberis, Nicholas C."
NICHOLAS BLOOM,55147487400,"Bloom, Nicholas"
NICHOLAS SOULELES,55893152500,"Souleles, Nicholas S."
NICK SOULELES,55893152500,"Souleles, Nicholas S."
NICOLA CETORELLI,56556826300,"Cetorelli, Nicola"
NICOLAE GARLEANU,6508204775,"Gârleanu, Nicolae"
NIKOLAI ROUSSANOV,26634260200,"Roussanov, Nikolai"
NOURIEL ROUBINI,6602144540,"Roubini, Nouriel"
OLEG ITSKHOKI,36015296600,"Itskhoki, Oleg"
OLIVIER JEANNE,55898985800,"Jeanne, Olivier"
ORAZIO ATTANASIO,6603862452,"Attanasio, Orazio P."
OWEN LAMONT,6701568246,"Lamont, Owen A."
P MARCELO OVIEDO,55245909000,"Oviedo, P. Marcelo"
PABLO KURLAT,55769243500,"Kurlat, Pablo"
PAOLA SAPIENZA,7004926273,"Sapienza, Paola"
PAOLO FULGHIERI,6603102424,"Fulghieri, Paolo"
PAOLO PESENTI,7003275699,"Pesenti, Paolo"
PARAG PATHAK,8883731500,"Pathak, Parag A."
PATRICK BAYER,22833332800,"Bayer, Patrick J."
PAUL BERGIN,7003289718,"Bergin, Paul R."
PAUL SCHREYER,16302425500,"Schreyer, Paul"
PAUL WILLEN,16403994600,"Willen, Paul S."
PAVEL SAVOR,36710713400,"Savor, Pavel G."
PER STROMBERG,7006215397,"StrÖmberg, Per"
PETER DIAMOND,7102763125,"Diamond, Peter A."
PHILIP E STRAHAN,6701621055,"Strahan, Philip E."
PHILIP LANE,7202980403,"Lane, Philip R."
PHILIP STRAHAN,6701621055,"Strahan, Philip E."
PHILIPPE BACCHETTA,6701920051,"Bacchetta, Philippe"
PHILIPPE MARTIN,55900337400,"Martin, Philippe"
PIERPAOLO BENIGNO,6507256174,"Benigno, Pierpaolo"
PIERRE AZOULAY,14065735100,"Azoulay, Pierre"
PIERRE COLLIN-DUFRESNE,6603409344,"Collin-Dufresne, Pierre"
PIERRE-OLIVIER GOURINCHAS,6505868404,"Gourinchas, Pierre Olivier"
PING HE,36138563300,"He, Ping"
R GLENN HUBBARD,7202298683,"Hubbard, R. Glenn"
RALPH KOIJEN,26635498500,"Koijen, Ralph S.J."
RANDALL MORCK,6603869069,"Morck, Randall K."
RAOUL MINETTI,7004025667,"Minetti, Raoul"
RATNA SAHAY,7003683626,"Sahay, Ratna"
RAVI BANSAL,12772232000,"Bansal, Ravi"
RAY FISMAN,6602490477,"Fisman, Raymond J."
RAYMOND FISMAN,6602490477,"Fisman, Raymond J."
RICARDO CABALLERO,7006328109,"Caballero, Ricardo J."
RICARDO REIS,8622256800,"Reis, Ricardo"
RICHARD CLARIDA,6701569716,"Clarida, Richard H."
RICHARD GREEN,7403917219,"Green, Richard C."
RICHARD LEVICH,6507310217,"Levich, Richard M."
RICHARD LYONS,35496364300,"Lyons, Richard K."
RICHARD MARSTON,7005702132,"Marston, Richard C."
RICHARD PORTES,6602759166,"Portes, Richard D."
RICHARD ROGERSON,7003812265,"Rogerson, Richard"
RICK GREEN,7403917219,"Green, Richard C."
ROBERT CHIRINKO,6603571764,"Chirinko, Robert S."
ROBERT FLOOD,7006012090,"Flood, Robert P."
ROBERT GERTNER,8147711800,"Gertner, Robert H."
ROBERT GOLDSTEIN,7403010545,"Goldstein, Robert S."
ROBERT GORDON,35357903200,"Gordon, Robert J."
ROBERT HUNT,36195358800,"Hunt, Robert M."
ROBERT INMAN,7103228992,"Inman, Robert P."
ROBERT J GORDON,35357903200,"Gordon, Robert J."
